member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,60,0.0175067679359551,1.0679634028026346,0.6216921338429031,3.23344153874881,5.75304864640884
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,61,0.0175080640020089,1.0854714668046435,0.6318840801589498,3.23115278168722,5.748947486187845
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,62,0.0175096660222137,1.102981132826857,0.6420769590569155,3.22867329487051,5.755054419889502
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,63,0.0175073781908888,1.1204885110177458,0.6522685061426351,3.22638453780893,5.756605635359116
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,64,0.0175068455379051,1.1379953565556509,0.6624597431557724,3.22390505099222,5.755364668508286
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,65,0.0175111991771143,1.155506555732765,0.6726535145471878,3.22180702368577,5.763913232044198
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,66,0.0175069400272369,1.173013495760002,0.6828448065652759,3.21970899637932,5.777211906077348
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,67,0.0175072324938501,1.1905207282538521,0.6930362688365697,3.21742023931774,5.777085662983426
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,68,0.0175069357213145,1.2080276639751666,0.7032275583480567,3.21551294176642,5.7858769337016565
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,69,0.0175069238255803,1.2255345878007469,0.7134188409346957,3.2136056442151,5.8023458839779
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,70,0.0175067973323971,1.2430413851331439,0.7236100498860238,3.21150761690865,5.805476243093923
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,71,0.0175072936913577,1.2605486788245015,0.7338015477821422,3.20960031935733,5.801909806629834
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,72,0.0175074290623336,1.278056107886835,0.7439931244815893,3.20769302180602,5.99937906077348
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,73,0.0175073168784101,1.2955634247652452,0.7541846358755561,3.20616718376496,6.333052348066298
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,74,0.0175069055703926,1.313070330335638,0.7643759078353266,3.20425988621365,6.028041049723756
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,75,0.017507349998,1.330577680333638,0.7745674385091569,3.2015896696418,5.680323370165746
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,76,0.0175073141862033,1.3480849945198412,0.7847589483359129,3.19853799355969,5.6524954696132585
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,77,0.017506855515324,1.3655918500351651,0.794950191157192,3.19548631747758,5.723621519337016
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,78,0.0175069440175954,1.3830987940527606,0.8051414854981822,3.19205318188521,5.743859447513812
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,79,0.0175073482072794,1.40060614226004,0.8153330151295827,3.18804785702745,5.779771187845305
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,80,0.0175140490988091,1.418120191358849,0.8255284455421734,3.18327961314915,5.809218038674032
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,81,0.0175139285858644,1.4356341199447133,0.8357238058007219,3.17774845025033,5.84446347107438
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,82,0.0175107225734248,1.4531448425181381,0.8459172997474573,3.17164509808611,5.86155861878453
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,83,0.0175147646791349,1.470659607197273,0.8561131467198839,3.16477882690137,5.870958815426997
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,84,0.0175100226400786,1.4881696298373517,0.8663062332153393,3.15676817718584,5.881358622589532
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,85,0.0175107944078782,1.50568042424523,0.8764997689789708,3.14761314893951,5.894232569060774
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,86,0.0175107306657302,1.5231911549109602,0.8866932676364693,3.13712301240726,5.913764005524863
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,87,0.0175147777227669,1.5407059326337271,0.8968891222019683,3.1247255783237,5.922545138121547
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,88,0.0175142421246766,1.5582201747584037,0.907084664980454,3.11023011693369,5.942851325966851
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,89,0.0175108719601404,1.5757310467185441,0.917278245889482,3.09306443897183,5.960821602209945
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,90,0.0175099484676706,1.5932409951862148,0.9274712892070508,3.07265635517273,5.969777541436464
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,91,0.0175142361220572,1.610755231308272,0.9376668284912396,3.04767075725047,5.99152814917127
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,92,0.0175106540576123,1.6282658853658842,0.947860282552955,3.01677253691912,6.00414861878453
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,93,0.0175142627156674,1.6457801480815517,0.9580558373180472,2.97633782883119,6.019815619834711
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,94,0.0157830408739997,1.6615631889555513,0.9672435981848865,2.93094414710983,5.99697541436464
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,95,0.012030281000977,1.6735934699565282,0.9742467698727925,2.893561115104,5.929175110497238
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,96,0.0096631868489154,1.6832566568054437,0.979871988149055,2.85827611040462,5.858136436464089
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,97,0.0079148086477435,1.691171465453187,0.9844794253180262,2.82489840325657,5.786497955801106
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,98,0.006488049414508,1.6976595148676952,0.9882563050073475,2.79361872341496,5.739361464088397
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,99,0.0053238869186205,1.7029834017863157,0.9913554923110413,2.76481853039006,5.699892900552487
