member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c,smoothing_window_segments,smoothed_ocv_voltage_v,dv_dcapacity_fraction_v,abs_dv_dcapacity_fraction_v
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,47,0.0024068270292034,0.3287622053474346,0.7696084963136578,3.27997959900096,5.556575359116023,1,3.27997959900096,0.08560962467163336,0.08560962467163336
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,48,0.0023679073055834,0.331130112653018,0.7751515957065284,3.28055178826635,5.559126049723757,1,3.28055178826635,0.10385080472639174,0.10385080472639174
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,49,0.0023397298816694,0.3334698425346875,0.7806287337921206,3.28112397753175,5.576105690607735,1,3.28112397753175,0.08714134223026804,0.08714134223026804
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,50,0.0023322374266693,0.3358020799613568,0.7860883325835588,3.28150543704201,5.564824585635359,1,3.28150543704201,0.07056286553813607,0.07056286553813607
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,51,0.0022872792001245,0.3380893591614813,0.7914426874249161,3.28188689655227,5.567373121546962,1,3.28188689655227,0.07189812587125743,0.07189812587125743
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,52,0.002246326833658,0.3403356859951393,0.7967011757443188,3.28226835606254,5.560831602209945,1,3.28226835606254,0.07317261993051716,0.07317261993051716
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,53,0.0022082388760499,0.3425439248711892,0.8018705029153118,3.2826498155728,5.56051091160221,1,3.2826498155728,0.09316237397064242,0.09316237397064242
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,54,0.0021773279138356,0.3447212527850248,0.8069674697639735,3.2832220048382,5.562585,1,3.2832220048382,0.09392579892596586,0.09392579892596586
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,55,0.0021489117533369,0.3468701645383617,0.811997916440314,3.28360346434846,5.561005331491713,1,3.28360346434846,0.07634838591656035,0.07634838591656035
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,56,0.0021201270571678,0.3489902915955295,0.8169609802290377,3.28398492385872,5.568438977900553,1,3.28398492385872,0.09684891708968735,0.09684891708968735
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,57,0.0020960914347308,0.3510863830302603,0.8218677783675716,3.28455711312412,5.560598370165746,1,3.28455711312412,0.07774656971508875,0.07774656971508875
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,58,0.0020611263171304,0.3531475093473907,0.8266927256998323,3.28474784287925,5.571725690607734,1,3.28474784287925,0.059507989207872924,0.059507989207872924
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,59,0.0020522861262484,0.3551997954736391,0.831496978785914,3.28512930238951,5.5611802486187845,1,3.28512930238951,0.10042002644360082,0.10042002644360082
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,60,0.0020185066154668,0.3572183020891059,0.8362221564853606,3.28570149165491,5.559610027624309,1,3.28570149165491,0.10145494181057302,0.10145494181057302
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,61,0.0019834098970373,0.3592017119861432,0.8408651753105305,3.28608295116517,5.571715220994475,1,3.28608295116517,0.08243884482823205,0.08243884482823205
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,62,0.0019699705869397,0.3611716825730829,0.84547673368475,3.28646441067544,5.574302928176796,1,3.28646441067544,0.08321532161068035,0.08321532161068035
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,63,0.0019467069851321,0.363118389558215,0.8500338336531222,3.2868458701857,5.556817900552487,1,3.2868458701857,0.0844348772009198,0.0844348772009198
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,64,0.0019136914341826,0.3650320809923976,0.8545136466094599,3.28722732969596,5.560656546961327,1,3.28722732969596,0.08570748656194382,0.08570748656194382
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,65,0.0018891471979615,0.3669212281903591,0.8589360032876001,3.28760878920623,5.573664392265194,1,3.28760878920623,0.08635158213189698,0.08635158213189698
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,66,0.0018850206732366,0.3688062488635957,0.8633487000704211,3.28799024871649,5.569069226519337,1,3.28799024871649,0.08708748026140256,0.08708748026140256
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,67,0.0018576465562811,0.3706638954198769,0.8676973160293355,3.28837170822675,5.568226795580111,1,3.28837170822675,0.08829341870904273,0.08829341870904273
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,68,0.0018338149358416,0.3724977103557185,0.8719901438919517,3.28875316773702,5.568343867403315,1,3.28875316773702,0.08928498116512174,0.08928498116512174
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,69,0.0018165104785531,0.3743142208342715,0.8762424632741624,3.28913462724728,5.5554711878453045,1,3.28913462724728,0.0905380160369873,0.0905380160369873
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,70,0.0017837299851416,0.3760979508194131,0.8804180458969997,3.28951608675754,5.551051077348066,1,3.28951608675754,0.09208581183480646,0.09208581183480646
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,71,0.0017558492936683,0.3778538001130814,0.8845283618416971,3.28989754626781,5.5913344475138125,1,3.28989754626781,0.09194731250892119,0.09194731250892119
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,72,0.0017892511270149,0.3796430512400963,0.8887168690575257,3.29027900577807,6.059765138121547,1,3.29027900577807,0.11432582149109294,0.11432582149109294
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,73,0.0022666438162278,0.3819096950563241,0.8940229179606903,3.2910419247986,6.031501104972376,1,3.2910419247986,0.14540130030712817,0.14540130030712817
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,74,0.0022172723567169,0.3841269674130411,0.899213391855241,3.29180484381913,5.674459419889502,1,3.29180484381913,0.09084176726707938,0.09084176726707938
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,75,0.001800744537908,0.3859277119509491,0.9034288043130076,3.29199557357426,5.363370745856354,1,3.29199557357426,0.050397280285324086,0.050397280285324086
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,76,0.001490561084595,0.3874182730355441,0.906918099786514,3.29218630332939,5.336880745856354,1,3.29218630332939,0.05567264036369579,0.05567264036369579
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,77,0.0014382775912679,0.388856550626812,0.9102850033912868,3.29237703308452,5.385780524861879,1,3.29237703308452,0.05621074207959964,0.05621074207959964
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,78,0.0014610324659708,0.3903175830927828,0.9137051745086237,3.29256776283965,5.428245718232043,1,3.29256776283965,0.055328648222996435,0.055328648222996435
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,79,0.0014845121790168,0.3918020952717996,0.9171803099325542,3.29275849259478,5.469894640883979,1,3.29275849259478,0.08141629357527336,0.08141629357527336
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,80,0.0015045470927764,0.393306642364576,0.9207023456376046,3.29313995210505,5.478617237569061,1,3.29313995210505,0.08120019350724306,0.08120019350724306
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,81,0.0015078674923492,0.3948145098569252,0.9242321541574152,3.29333068186018,5.502808453038675,1,3.29333068186018,0.08079366204174221,0.08079366204174221
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,82,0.0015136418866972,0.3963281517436224,0.9277754801159064,3.29371214137044,5.52455138121547,1,3.29371214137044,0.10753114419486565,0.10753114419486565
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,83,0.0015171587973097,0.3978453105409321,0.9313270389072604,3.29409360088071,5.5374721823204425,1,3.29409360088071,0.10755780008491911,0.10755780008491911
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,84,0.0015128946098526,0.3993582051507847,0.9348686155448158,3.29447506039097,5.546593011049724,1,3.29447506039097,0.08086606293858267,0.08086606293858267
