cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,arrhenius_r_squared,arrhenius_activation_energy_mev,vtf_r_squared,vtf_b_k,vtf_t0_k,aic_arrhenius,aic_vtf,delta_aic_vtf_minus_arrhenius,aicc_arrhenius,aicc_vtf,vtf_fits_at_least_as_well,forms_indistinguishable
SIB,sodium-ion,discharge,1.0,1s,0.9939656506063593,372.88713360584035,0.9978436758500341,676.5195258687803,179.1681025866464,-23.260976717904427,-26.4062919859753,-3.145315268070874,0.7390232820955731,,True,False
LFP,lithium-ion,discharge,1.0,end,0.996909788653175,259.26914546936246,0.998141405709943,863.2842883237087,137.7690968796297,-30.314672401655955,-30.85676760985219,-0.5420952081962369,-6.314672401655955,,True,True
LTO,lithium-ion,discharge,1.0,end,0.9713368740423673,88.89622692406226,0.9996377103100812,35.9731169929548,239.96060517804122,-29.802260831942355,-49.656873960148296,-19.85461312820594,-5.802260831942355,,True,False
NMC,lithium-ion,discharge,1.0,end,0.9782228324433395,220.5560685102474,0.9993005115984559,116.12789995751294,232.4224681763018,-22.021904249888475,-37.213244886011566,-15.19134063612309,1.9780957501115246,,True,False
SIB,sodium-ion,discharge,1.0,end,0.9905799566870577,342.86714468460696,0.9972788954569679,438.9948242490245,197.73250839682905,-21.856385628093015,-26.065394661485954,-4.209009033392938,2.1436143719069847,,True,False
LFP,lithium-ion,discharge,1.0,fast,0.9948570207407285,234.70508919228496,0.9948570207407281,2723.6394607977836,0.0,-28.752769963738473,-26.752769963738167,2.0000000000003055,-4.752769963738473,,False,False
LTO,lithium-ion,discharge,1.0,fast,0.9569043938186698,71.59640492938942,0.9985068619097798,21.00881667044279,247.74311129192364,-29.852612112408096,-44.665317317954134,-14.812705205546038,-5.852612112408096,,True,False
NMC,lithium-ion,discharge,1.0,fast,0.9830534601837351,212.5478725806778,0.9976972601203634,153.0225922833324,222.05417963312107,-23.670373223191206,-31.65019325509266,-7.979820031901454,0.3296267768087944,,True,False
SIB,sodium-ion,discharge,1.0,fast,0.997855995189461,294.30875179266866,0.9978559951894611,3415.311243566343,0.0,-30.82093502050465,-28.82093502050484,1.9999999999998082,-6.820935020504649,,True,True
LFP,lithium-ion,discharge,2.0,100ms,0.9975341078239766,234.64602491467724,0.9975341078239767,2722.9540483179467,0.0,-32.44267493436705,-30.442674934367183,1.999999999999865,-8.442674934367048,,True,True
LTO,lithium-ion,discharge,2.0,100ms,0.9393953337269242,74.20311777647541,0.9998634611337976,15.029400072455166,255.10166455453032,-27.6985660556087,-56.17615536620875,-28.477589310600045,-3.698566055608701,,True,False
NMC,lithium-ion,discharge,2.0,100ms,0.9775682512331867,222.105034565602,0.9980495878581631,121.96384761843389,231.1559381698206,-21.809411556682264,-32.02159458663408,-10.212183029951817,2.1905884433177363,,True,False
SIB,sodium-ion,discharge,2.0,100ms,0.9980776917800979,310.8804096718569,0.9983157395356292,1897.4059119358888,81.61372826262333,-30.833327552296247,-29.494327991947884,1.3389995603483626,-6.833327552296247,,True,True
