cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,activation_energy_ev,activation_energy_mev,standard_error_ev,standard_error_mev,r_squared,prefactor_mohm,n_points,temperature_min_deg_c,temperature_max_deg_c,li_reference_family_count,li_reference_mean_activation_energy_ev,li_reference_min_activation_energy_ev,li_reference_max_activation_energy_ev,activation_energy_excess_vs_li_mean_ev,exceeds_every_li_reference
NMC,lithium-ion,discharge,1.0,end,0.2205560685102474,220.5560685102474,0.018999412985734983,18.999412985734985,0.9782228324433395,0.011036463684935195,5,5.625201556886228,45.54951596806388,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,0.030982254875690007,False
SIB,sodium-ion,discharge,1.0,end,0.34286714468460694,342.86714468460696,0.019303982940131335,19.303982940131334,0.9905799566870577,0.00017827587136126343,5,5.456490239520958,45.36208015968064,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,0.15329333105004955,True
LFP,lithium-ion,discharge,1.0,fast,0.23470508919228497,234.70508919228496,0.009742915393222942,9.742915393222942,0.9948570207407285,0.007627150755633384,5,5.544949940119761,45.22138738522955,3,0.17294978890078405,0.07159640492938943,0.23470508919228497,0.06175530029150092,False
LTO,lithium-ion,discharge,1.0,fast,0.07159640492938943,71.59640492938942,0.00877228657422591,8.77228657422591,0.9569043938186698,1.415761251204392,5,5.834509011976049,45.36864948103791,3,0.17294978890078405,0.07159640492938943,0.23470508919228497,-0.10135338397139462,False
NMC,lithium-ion,discharge,1.0,fast,0.21254787258067778,212.5478725806778,0.016111949245589022,16.11194924558902,0.9830534601837351,0.010772453873966947,5,5.625201556886228,45.54951596806388,3,0.17294978890078405,0.07159640492938943,0.23470508919228497,0.03959808367989373,False
SIB,sodium-ion,discharge,1.0,fast,0.29430875179266863,294.30875179266866,0.007876286254928404,7.876286254928404,0.997855995189461,0.0008857243339148723,5,5.456490239520958,45.36208015968064,3,0.17294978890078405,0.07159640492938943,0.23470508919228497,0.12135896289188458,True
LFP,lithium-ion,discharge,2.0,100ms,0.23464602491467723,234.64602491467724,0.00673559146971344,6.73559146971344,0.9975341078239766,0.007850166397980488,5,5.5408997105788425,45.22946397205588,3,0.17698472575225155,0.07420311777647541,0.23464602491467723,0.05766129916242568,False
LTO,lithium-ion,discharge,2.0,100ms,0.07420311777647541,74.20311777647541,0.010881539896537317,10.881539896537317,0.9393953337269242,1.317299656889333,5,5.843045878243512,45.37566984031936,3,0.17698472575225155,0.07420311777647541,0.23464602491467723,-0.10278160797577614,False
NMC,lithium-ion,discharge,2.0,100ms,0.22210503456560202,222.105034565602,0.01942476608073132,19.42476608073132,0.9775682512331867,0.00766541071511486,5,5.658237315369261,45.557822255489015,3,0.17698472575225155,0.07420311777647541,0.23464602491467723,0.04512030881335047,False
SIB,sodium-ion,discharge,2.0,100ms,0.3108804096718569,310.8804096718569,0.007877022125721795,7.877022125721795,0.9980776917800979,0.0004818918046453275,5,5.509382165668662,45.37943646706586,3,0.17698472575225155,0.07420311777647541,0.23464602491467723,0.13389568391960538,True
