cell_family,chemistry_type,pulse_direction,abs_c_rate,soc_percent_round,n,median_r_fast_mohm,median_r_100ms_mohm,median_r_1s_mohm
SIB,sodium-ion,charge,1.0,50.0,5,79.47999999999999,86.6,88.87
SIB,sodium-ion,charge,1.0,60.0,6,81.27000000000001,88.685,90.855
SIB,sodium-ion,charge,1.0,70.0,6,81.195,89.14,91.23500000000001
SIB,sodium-ion,charge,1.0,80.0,8,76.985,84.30499999999999,86.785
SIB,sodium-ion,charge,1.0,90.0,8,76.28999999999999,85.335,89.335
SIB,sodium-ion,charge,1.0,100.0,3,101.07,139.36,157.01000000000002
SIB,sodium-ion,charge,2.0,0.0,6,75.975,97.45500000000001,141.37
SIB,sodium-ion,charge,2.0,10.0,6,77.005,88.80499999999999,92.57
SIB,sodium-ion,charge,2.0,20.0,6,76.82,86.285,88.725
SIB,sodium-ion,charge,2.0,30.0,3,79.53,87.91,89.82
SIB,sodium-ion,charge,2.0,40.0,6,76.065,83.865,85.705
SIB,sodium-ion,charge,2.0,50.0,5,76.86,81.94,83.66
SIB,sodium-ion,charge,2.0,60.0,6,78.075,83.605,85.26
SIB,sodium-ion,charge,2.0,70.0,6,77.315,84.05,85.64
SIB,sodium-ion,charge,2.0,80.0,8,74.00999999999999,79.435,86.755
SIB,sodium-ion,charge,2.0,90.0,8,73.3,80.245,103.87
SIB,sodium-ion,charge,2.0,100.0,3,97.60000000000001,126.75,139.02
SIB,sodium-ion,charge,3.0,0.0,6,73.63,91.25500000000001,127.75
SIB,sodium-ion,charge,3.0,10.0,6,73.49,83.9,96.19999999999999
SIB,sodium-ion,charge,3.0,20.0,6,73.965,81.94999999999999,83.24000000000001
SIB,sodium-ion,charge,3.0,30.0,3,76.92,83.61,85.22
SIB,sodium-ion,charge,3.0,40.0,6,73.185,79.425,80.765
SIB,sodium-ion,charge,3.0,50.0,5,73.78999999999999,77.75999999999999,79.0
SIB,sodium-ion,charge,3.0,60.0,6,74.78999999999999,79.095,79.36500000000001
SIB,sodium-ion,charge,3.0,70.0,6,74.06,79.39,78.16000000000001
SIB,sodium-ion,charge,3.0,80.0,8,69.47,72.605,87.81
SIB,sodium-ion,charge,3.0,90.0,8,68.53,73.45,97.64
SIB,sodium-ion,charge,3.0,100.0,3,93.16000000000001,117.47,126.92
